validstart,mapdate,none,d0,d1,d2,d3,d4,region_east_central,region_north_central,region_northeast,region_northwest,region_south_central,region_southeast,region_southwest,climatedivisionsid_201,climatedivisionsid_202,climatedivisionsid_203,climatedivisionsid_204,climatedivisionsid_205,climatedivisionsid_206,climatedivisionsid_207,is_drought_area
2021-10-05,20211005,0.0,1431.43,5889.5,807.13,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-10-05,20211005,0.0,0.0,6.51,9309.45,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-10-05,20211005,0.0,3487.27,5657.65,785.84,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-09-28,20210928,0.0,7544.35,14145.2,1344.48,102.46,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-09-28,20210928,0.0,972.32,3822.82,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-09-28,20210928,0.0,2949.02,7895.16,17758.31,11236.74,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-09-28,20210928,0.0,5967.97,8629.9,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-09-28,20210928,0.0,0.0,6.51,9309.45,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-09-28,20210928,0.0,3495.07,5649.85,785.84,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-09-28,20210928,0.0,1451.68,5869.26,807.13,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-09-21,20210921,0.0,1461.87,5859.07,807.13,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-09-21,20210921,0.0,5846.33,15843.21,1344.48,102.46,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-09-21,20210921,0.0,3100.29,6044.63,785.84,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-09-21,20210921,0.0,308.11,4487.04,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-09-21,20210921,0.0,2696.59,8147.59,17758.31,11236.74,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-09-21,20210921,0.0,1604.37,12993.5,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-09-21,20210921,0.0,0.0,6.51,9309.45,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-09-14,20210914,0.0,1461.87,5859.07,807.13,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-09-14,20210914,0.0,0.0,6.51,9309.45,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-09-14,20210914,0.0,5846.33,15843.21,1344.48,102.46,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-09-14,20210914,0.0,3100.29,6044.63,785.84,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-09-14,20210914,0.0,2696.59,8147.59,17758.31,11236.74,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-09-14,20210914,0.0,1604.37,12993.5,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-09-14,20210914,0.0,308.11,4487.04,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-09-07,20210907,0.0,0.0,6.51,9309.45,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-09-07,20210907,0.0,1461.87,5859.07,807.13,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-09-07,20210907,0.0,3100.29,6044.63,785.84,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-09-07,20210907,0.0,1604.37,12993.5,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-09-07,20210907,0.0,5846.33,15843.21,1344.48,102.46,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-09-07,20210907,0.0,308.11,4487.04,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-09-07,20210907,0.0,2696.59,8147.59,17758.31,11236.74,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-08-31,20210831,0.0,0.0,0.0,7323.47,5070.42,1075.96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-08-31,20210831,0.0,79.45,14682.8,7723.07,651.17,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-08-31,20210831,0.0,0.0,13550.47,1047.4,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-08-31,20210831,0.0,0.0,4795.14,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-08-31,20210831,0.0,265.46,5697.77,2164.83,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-08-31,20210831,0.0,1055.07,5654.71,21892.71,11236.74,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-08-31,20210831,0.0,2880.97,3535.76,2851.31,738.43,26.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-08-24,20210824,0.0,0.0,4795.14,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-08-24,20210824,0.0,1055.08,5617.69,21929.72,11236.74,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-08-24,20210824,0.0,265.46,5688.92,2173.69,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-08-24,20210824,0.0,80.03,14695.04,7710.24,651.17,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-08-24,20210824,0.0,2879.56,3519.89,2868.59,738.43,26.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-08-24,20210824,0.0,0.0,13548.53,1049.34,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-08-24,20210824,0.0,0.0,0.0,7323.47,5070.42,1075.96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-08-17,20210817,0.0,0.0,0.0,1532.55,8946.04,2991.26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-08-17,20210817,0.0,0.0,13548.53,1049.34,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
